City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
cherskiy,RU,68.75,161.3,1553755794.0,32.0,58.0,2.15,6.51
yellowknife,CA,62.45,-114.38,1553755724.0,90.0,92.0,21.99,9.17
bredasdorp,ZA,-34.53,20.04,1553755577.0,36.0,77.0,66.2,8.05
hobart,AU,-42.88,147.33,1553755516.0,0.0,40.0,73.0,12.75
pangody,RU,65.85,74.49,1553755795.0,12.0,93.0,24.74,9.31
hermanus,ZA,-34.42,19.24,1553755615.0,36.0,86.0,66.0,3.0
busselton,AU,-33.64,115.35,1553755606.0,8.0,24.0,73.0,18.7
saint-leu,RE,-21.15,55.28,1553755568.0,40.0,62.0,89.6,14.99
lata,IN,30.78,78.62,1553755797.0,12.0,68.0,61.82,1.59
avarua,CK,-21.21,-159.78,1553754600.0,48.0,88.0,80.6,2.24
norman wells,CA,65.28,-126.83,1553752800.0,90.0,86.0,37.4,13.87
luanda,AO,-8.83,13.24,1553752800.0,40.0,88.0,80.6,4.7
berlevag,NO,70.86,29.09,1553752200.0,90.0,100.0,32.0,29.97
albany,US,42.65,-73.75,1553755750.0,75.0,47.0,35.6,14.99
dobryatino,RU,55.51,41.32,1553755800.0,76.0,96.0,24.65,4.72
mount gambier,AU,-37.83,140.78,1553752800.0,40.0,49.0,73.4,12.75
benguela,AO,-12.58,13.4,1553755800.0,36.0,100.0,79.64,2.04
dubbo,AU,-32.25,148.6,1553752800.0,75.0,41.0,78.8,4.7
iqaluit,CA,63.75,-68.52,1553752800.0,75.0,71.0,5.0,12.75
guanare,VE,9.04,-69.74,1553755801.0,0.0,64.0,75.86,3.71
berdigestyakh,RU,62.1,126.7,1553755802.0,0.0,53.0,19.34,3.83
port alfred,ZA,-33.59,26.89,1553755802.0,20.0,76.0,69.65,11.77
rikitea,PF,-23.12,-134.97,1553755803.0,68.0,100.0,76.22,6.29
kodiak,US,39.95,-94.76,1553755758.0,90.0,65.0,61.0,9.17
broome,GB,52.47,1.45,1553755791.0,75.0,81.0,46.99,3.36
conakry,GN,9.52,-13.7,1553752800.0,40.0,83.0,77.0,4.38
punta arenas,CL,-53.16,-70.91,1553755347.0,20.0,86.0,33.8,4.7
new norfolk,AU,-42.78,147.06,1553755755.0,0.0,40.0,72.0,12.75
mont-de-marsan,FR,43.89,-0.5,1553755781.0,0.0,68.0,48.99,3.83
north platte,US,41.12,-100.77,1553755802.0,1.0,70.0,48.2,3.36
mogadishu,SO,2.04,45.34,1553752800.0,75.0,66.0,86.0,6.93
saint-philippe,CA,45.36,-73.48,1553755805.0,1.0,32.0,37.4,8.05
kapaa,US,22.08,-159.32,1553755710.0,20.0,78.0,73.4,6.62
ancud,CL,-41.87,-73.83,1553752800.0,90.0,100.0,44.6,2.24
mataura,NZ,-46.19,168.86,1553755807.0,0.0,74.0,57.99,3.71
awjilah,LY,29.14,21.3,1553755809.0,20.0,40.0,66.14,16.02
namibe,AO,-15.19,12.15,1553755809.0,12.0,98.0,78.02,6.29
vaini,IN,15.34,74.49,1553752800.0,0.0,35.0,89.6,3.36
bolekhiv,UA,49.07,23.86,1553755669.0,0.0,52.0,42.01,6.71
porto novo,BR,-23.68,-45.44,1553752800.0,75.0,94.0,68.0,4.7
timizart,DZ,36.8,4.25,1553755625.0,8.0,55.0,51.01,5.01
tual,ID,-5.67,132.75,1553755811.0,48.0,100.0,80.63,16.91
ushuaia,AR,-54.81,-68.31,1553755643.0,12.0,100.0,33.74,5.61
pulandian,CN,39.4,121.96,1553752800.0,40.0,22.0,46.4,8.95
tabuk,PH,17.41,121.44,1553755812.0,56.0,39.0,88.1,2.04
half moon bay,US,37.46,-122.43,1553755811.0,75.0,87.0,55.4,9.17
tubinskiy,RU,52.89,58.22,1553752800.0,80.0,100.0,26.6,11.18
bell ville,AR,-32.63,-62.69,1553755813.0,44.0,75.0,62.18,11.21
vostok,RU,46.45,135.83,1553755813.0,68.0,48.0,22.13,4.94
caravelas,BR,-17.73,-39.27,1553755814.0,64.0,100.0,80.9,19.26
tiksi,RU,71.64,128.87,1553755814.0,8.0,68.0,15.65,14.12
ilulissat,GL,69.22,-51.1,1553752200.0,68.0,65.0,8.6,16.11
bluff,AU,-23.58,149.07,1553755815.0,100.0,98.0,71.54,12.1
sitka,US,37.17,-99.65,1553755548.0,0.0,74.0,62.01,11.01
waipawa,NZ,-39.94,176.59,1553754737.0,64.0,76.0,59.0,1.99
lebu,ET,8.96,38.73,1553752800.0,40.0,72.0,64.4,13.87
dikson,RU,73.51,80.55,1553755816.0,76.0,100.0,24.38,35.93
grand gaube,MU,-20.01,57.66,1553755745.0,75.0,74.0,87.01,9.17
saldanha,PT,41.42,-6.55,1553755816.0,0.0,54.0,39.5,9.64
jining,CN,35.41,116.58,1553755817.0,36.0,45.0,64.97,10.54
fortuna,ES,38.18,-1.13,1553755816.0,0.0,86.0,50.0,2.24
souillac,FR,45.6,-0.6,1553755688.0,0.0,86.0,43.0,5.82
longyearbyen,NO,78.22,15.63,1553752200.0,75.0,67.0,21.2,28.86
beringovskiy,RU,63.05,179.32,1553755819.0,0.0,86.0,22.22,10.09
cape town,ZA,-33.93,18.42,1553755566.0,40.0,93.0,64.0,5.82
bethel,US,60.79,-161.76,1553752560.0,90.0,86.0,33.8,3.36
laranjeiras do sul,BR,-25.41,-52.42,1553755820.0,12.0,83.0,65.24,6.06
ruteng,ID,-8.61,120.46,1553755820.0,88.0,90.0,78.2,3.15
collie,AU,-33.36,116.15,1553755606.0,0.0,24.0,73.0,13.11
komsomolskiy,RU,67.55,63.78,1553755821.0,76.0,94.0,24.02,14.79
kruisfontein,ZA,-34.0,24.73,1553755821.0,48.0,85.0,62.9,11.88
hilo,US,19.71,-155.08,1553755815.0,90.0,88.0,73.0,13.87
puerto ayora,EC,-0.74,-90.35,1553755822.0,0.0,100.0,77.75,7.52
kahului,US,20.89,-156.47,1553755775.0,20.0,64.0,75.2,3.36
isangel,VU,-19.55,169.27,1553752800.0,40.0,62.0,86.0,13.87
yumbing,PH,9.24,124.66,1553755823.0,56.0,84.0,81.08,7.85
dingli,MT,35.86,14.38,1553755810.0,20.0,93.0,55.0,5.82
susangerd,IR,31.56,48.19,1553754600.0,75.0,49.0,71.6,4.7
do gonbadan,IR,30.36,50.8,1553752800.0,0.0,52.0,66.2,1.14
pisco,PE,-13.71,-76.2,1553752800.0,0.0,78.0,71.6,3.36
nikolskoye,RU,59.7,30.79,1553755571.0,75.0,74.0,37.0,11.18
carnarvon,ZA,-30.97,22.13,1553755824.0,0.0,43.0,54.62,2.93
ribeira grande,PT,38.52,-28.7,1553755788.0,12.0,100.0,57.68,13.44
jamestown,AU,-33.21,138.6,1553755825.0,20.0,66.0,71.27,5.61
chokurdakh,RU,70.62,147.9,1553755780.0,24.0,84.0,5.21,12.88
tautira,PF,-17.73,-149.15,1553755342.0,40.0,78.0,80.6,3.36
guerrero negro,MX,27.97,-114.04,1553755826.0,76.0,99.0,55.43,7.74
srednekolymsk,RU,67.46,153.71,1553755789.0,0.0,49.0,9.08,3.49
mar del plata,AR,-46.43,-67.52,1553755551.0,12.0,71.0,50.84,9.98
onega,RU,63.91,38.09,1553755828.0,8.0,89.0,25.55,8.08
tilichiki,RU,60.47,166.1,1553755828.0,20.0,80.0,17.72,2.71
yokadouma,CM,3.52,15.05,1553755828.0,32.0,87.0,73.34,2.15
luderitz,NA,-26.65,15.16,1553755653.0,0.0,94.0,58.49,9.08
clyde river,CA,70.47,-68.59,1553753760.0,75.0,83.0,-7.61,6.93
victoria,BN,5.28,115.24,1553752800.0,75.0,74.0,87.8,8.05
jalor,IN,25.35,72.62,1553755830.0,0.0,28.0,98.0,4.5
khatanga,RU,71.98,102.47,1553755831.0,12.0,88.0,26.63,16.8
pekan,MY,3.49,103.39,1553752800.0,75.0,70.0,87.8,2.24
port elizabeth,US,39.31,-74.98,1553755816.0,1.0,92.0,37.99,3.27
alofi,NU,-19.06,-169.92,1553752800.0,12.0,94.0,78.8,2.24
atuona,PF,-9.8,-139.03,1553755585.0,0.0,100.0,82.7,14.0
kolno,PL,53.41,21.93,1553755832.0,80.0,96.0,39.95,5.5
cabo san lucas,MX,22.89,-109.91,1553755604.0,40.0,27.0,66.0,4.7
esperance,TT,10.24,-61.45,1553755551.0,20.0,88.0,75.2,3.36
mahebourg,MU,-20.41,57.7,1553755745.0,75.0,74.0,87.01,9.17
san patricio,PY,-26.98,-56.83,1553755834.0,0.0,75.0,67.85,5.61
tasiilaq,GL,65.61,-37.64,1553752200.0,32.0,61.0,17.6,5.82
tagusao,PH,9.19,117.81,1553755835.0,68.0,88.0,82.52,3.94
santiago de chuco,PE,-8.15,-78.17,1553755835.0,88.0,100.0,47.33,1.92
provideniya,RU,64.42,-173.23,1553755836.0,92.0,94.0,31.58,19.04
kirakira,SB,-10.46,161.92,1553755836.0,80.0,100.0,84.68,6.62
pevek,RU,69.7,170.27,1553755836.0,88.0,82.0,7.55,18.37
vung tau,VN,10.35,107.08,1553755751.0,24.0,84.0,85.67,14.45
cap malheureux,MU,-19.98,57.61,1553755745.0,75.0,74.0,87.01,9.17
aklavik,CA,68.22,-135.01,1553752800.0,90.0,86.0,26.6,6.4
severo-kurilsk,RU,50.68,156.12,1553755837.0,92.0,96.0,31.31,28.43
arraial do cabo,BR,-22.97,-42.02,1553755838.0,88.0,93.0,77.57,7.85
gusau,NG,12.17,6.66,1553755838.0,8.0,28.0,69.47,11.21
saskylakh,RU,71.97,114.09,1553755838.0,0.0,87.0,23.12,6.4
amuntai,ID,-2.42,115.25,1553755839.0,32.0,63.0,90.08,2.93
raudeberg,NO,61.99,5.14,1553755804.0,75.0,93.0,48.2,19.46
cabra,ES,37.47,-4.43,1553755704.0,0.0,87.0,46.0,2.24
tura,IN,25.52,90.21,1553755840.0,0.0,76.0,77.75,3.83
abong mbang,CM,3.98,13.18,1553755840.0,56.0,84.0,72.35,2.04
ojinaga,US,29.56,-104.41,1553755531.0,1.0,64.0,69.8,13.87
santa cruz de tenerife,ES,28.47,-16.25,1553755652.0,20.0,93.0,62.6,5.82
roma,IT,41.89,12.48,1553755824.0,0.0,79.0,53.01,5.82
borovoy,RU,63.23,52.89,1553755842.0,64.0,96.0,33.38,6.17
sergeyevka,KZ,53.88,67.42,1553755842.0,24.0,89.0,36.08,16.13
laguna,MX,27.52,-110.01,1553755842.0,12.0,66.0,59.84,1.92
chiniot,PK,31.72,72.98,1553755712.0,0.0,84.0,82.34,4.38
uray,RU,60.13,64.8,1553755843.0,64.0,87.0,38.24,6.06
lompoc,US,34.64,-120.46,1553755727.0,75.0,93.0,57.2,3.36
tigzirt,DZ,36.57,4.2,1553755625.0,8.0,55.0,51.01,5.01
mandalgovi,MN,45.76,106.27,1553755844.0,56.0,70.0,36.71,15.46
kaitangata,NZ,-46.28,169.85,1553755793.0,0.0,71.0,57.99,7.0
bay-khaak,RU,51.16,94.47,1553755845.0,80.0,57.0,32.57,5.39
hithadhoo,MV,-0.6,73.08,1553755845.0,48.0,100.0,82.25,3.49
san andres,PH,13.32,122.68,1553755845.0,0.0,96.0,83.15,2.59
tuktoyaktuk,CA,69.44,-133.03,1553755785.0,32.0,91.0,26.27,11.77
rio gallegos,AR,-51.62,-69.22,1553752800.0,0.0,80.0,41.0,3.36
stralsund,DE,54.31,13.08,1553755084.0,75.0,93.0,46.4,11.41
biltine,TD,14.53,20.93,1553755847.0,8.0,18.0,77.48,17.25
bambous virieux,MU,-20.34,57.76,1553755745.0,75.0,74.0,87.01,9.17
hofn,IS,64.25,-15.21,1553755848.0,92.0,100.0,36.35,9.53
faanui,PF,-16.48,-151.75,1553755849.0,80.0,98.0,85.58,3.94
nanortalik,GL,60.14,-45.24,1553755849.0,0.0,100.0,24.65,35.37
rio grande,BR,-32.03,-52.1,1553755664.0,56.0,87.0,68.75,15.46
ahuimanu,US,21.44,-157.84,1553755647.0,20.0,78.0,75.2,3.71
thompson,CA,55.74,-97.86,1553752800.0,40.0,66.0,10.4,6.93
chuy,UY,-33.69,-53.46,1553755850.0,8.0,89.0,60.65,9.53
preobrazheniye,RU,42.9,133.91,1553755851.0,76.0,36.0,32.93,6.4
ahipara,NZ,-35.17,173.16,1553755851.0,100.0,84.0,69.74,9.86
bilma,NE,18.69,12.92,1553755852.0,44.0,31.0,63.35,3.94
abu kamal,SY,34.45,40.92,1553755852.0,0.0,97.0,53.81,8.75
tuatapere,NZ,-46.13,167.69,1553755807.0,0.0,74.0,57.99,5.95
sisimiut,GL,66.94,-53.67,1553755815.0,0.0,38.0,-12.97,2.71
sibu,MY,2.29,111.83,1553752800.0,75.0,83.0,82.4,3.36
barrow,AR,-38.31,-60.23,1553755853.0,0.0,89.0,55.7,14.9
butaritari,KI,3.07,172.79,1553755854.0,88.0,99.0,84.5,19.26
makakilo city,US,21.35,-158.09,1553755647.0,1.0,73.0,75.2,10.29
payakumbuh,ID,-0.23,100.63,1553755855.0,80.0,87.0,79.46,2.59
santiago del estero,AR,-27.8,-64.26,1553755855.0,88.0,88.0,61.19,3.15
turukhansk,RU,65.8,87.96,1553755855.0,92.0,96.0,31.04,13.11
upernavik,GL,72.79,-56.15,1553755856.0,64.0,100.0,4.4,6.96
samarai,PG,-10.62,150.67,1553755856.0,8.0,99.0,84.14,11.65
sao joao da barra,BR,-21.64,-41.05,1553755856.0,92.0,99.0,80.27,12.1
hobyo,SO,5.35,48.53,1553755857.0,0.0,74.0,84.23,10.42
kungalv,SE,57.87,11.98,1553755831.0,90.0,93.0,44.01,6.93
cache creek,CA,50.81,-121.33,1553755533.0,1.0,92.0,46.4,4.7
eldorado,MX,24.32,-107.36,1553755816.0,88.0,82.0,64.0,1.99
pipri,IN,24.21,83.02,1553755859.0,0.0,33.0,88.64,3.83
qaanaaq,GL,77.48,-69.36,1553755859.0,44.0,82.0,-9.82,8.41
lorengau,PG,-2.02,147.27,1553755860.0,48.0,100.0,82.34,8.41
huarmey,PE,-10.07,-78.15,1553755860.0,80.0,90.0,65.78,3.15
sola,NO,58.89,5.65,1553755802.0,75.0,100.0,45.0,9.17
flin flon,CA,54.77,-101.88,1553755861.0,68.0,79.0,24.92,6.85
georgetown,GY,6.8,-58.16,1553755814.0,92.0,86.0,77.57,5.95
luchegorsk,RU,46.44,134.3,1553755862.0,68.0,36.0,28.88,6.96
hibbing,US,47.43,-92.94,1553755836.0,90.0,74.0,36.0,14.99
sao filipe,CV,14.9,-24.5,1553755862.0,0.0,100.0,68.84,11.21
vila velha,BR,-3.71,-38.6,1553755689.0,40.0,94.0,77.0,4.7
kununurra,AU,-15.77,128.74,1553752800.0,0.0,22.0,98.6,11.41
santa rosalia,IT,38.07,13.27,1553755855.0,75.0,76.0,55.99,19.46
mjolby,SE,58.33,15.12,1553755646.0,0.0,100.0,39.0,3.36
richards bay,ZA,-28.77,32.06,1553755864.0,0.0,80.0,73.97,13.89
moose factory,CA,51.26,-80.61,1553753820.0,90.0,93.0,35.6,19.46
lichuan,CN,30.3,108.94,1553755865.0,76.0,88.0,59.66,2.93
guarapari,BR,-20.67,-40.5,1553755777.0,40.0,88.0,75.0,5.82
pacific grove,US,36.62,-121.92,1553755856.0,1.0,93.0,54.0,5.17
port blair,IN,11.67,92.75,1553755726.0,20.0,99.0,85.58,6.96
yarada,IN,17.65,83.27,1553752800.0,0.0,52.0,93.2,9.17
mokrousovo,RU,55.81,66.77,1553755867.0,20.0,93.0,36.44,7.4
umm lajj,SA,25.02,37.27,1553755868.0,0.0,79.0,68.3,8.97
inhambane,MZ,-23.87,35.38,1553752800.0,20.0,61.0,80.6,8.05
faya,SA,18.39,42.45,1553752800.0,40.0,59.0,69.8,8.05
castro,CL,-42.48,-73.76,1553752800.0,90.0,100.0,44.6,2.24
dolgoye,RU,52.06,37.53,1553755869.0,0.0,77.0,29.06,10.42
narsaq,GL,60.91,-46.05,1553752200.0,20.0,52.0,15.8,18.34
coquimbo,CL,-29.95,-71.34,1553752800.0,90.0,87.0,57.2,5.82
pingshan,CN,28.83,104.35,1553755871.0,76.0,49.0,73.88,4.61
hasaki,JP,35.73,140.83,1553755176.0,75.0,62.0,57.2,6.93
jiazi,CN,19.61,110.49,1553752800.0,20.0,49.0,91.4,4.47
palotina,BR,-24.28,-53.84,1553755872.0,0.0,84.0,71.72,9.64
vanderhoof,CA,54.02,-124.02,1553755872.0,0.0,67.0,28.07,3.94
teacapan,MX,22.54,-105.74,1553755873.0,12.0,81.0,63.89,1.48
guozhen,CN,29.3,113.14,1553755873.0,80.0,94.0,65.15,4.27
lapua,FI,62.97,23.01,1553755871.0,0.0,92.0,36.0,2.24
manokwari,ID,-0.87,134.08,1553755874.0,20.0,98.0,82.34,16.8
sandnessjoen,NO,66.02,12.63,1553754000.0,75.0,93.0,42.8,27.51
kyzyl-mazhalyk,RU,51.15,90.58,1553755875.0,0.0,24.0,42.2,6.06
chuguyevka,RU,44.17,133.87,1553755875.0,24.0,32.0,30.68,9.53
airai,TL,-8.93,125.41,1553755875.0,92.0,80.0,77.12,2.15
fereydunshahr,IR,32.94,50.12,1553755875.0,20.0,75.0,38.6,2.59
skrunda,LV,56.68,22.02,1553754000.0,90.0,100.0,33.8,2.24
atambua,ID,-9.11,124.89,1553755876.0,100.0,100.0,79.1,7.63
haines junction,CA,60.75,-137.51,1553755877.0,0.0,80.0,20.24,2.15
torbay,CA,47.66,-52.73,1553755599.0,5.0,78.0,16.0,4.7
manaus,BR,-3.13,-59.98,1553752800.0,0.0,78.0,80.6,2.24
phalodi,IN,27.13,72.36,1553755878.0,0.0,44.0,92.87,5.28
lasa,CY,34.92,32.53,1553755532.0,40.0,82.0,60.8,3.36
batemans bay,AU,-35.71,150.18,1553755803.0,56.0,46.0,77.0,4.0
yinchuan,CN,38.48,106.21,1553755880.0,0.0,33.0,51.47,10.98
fuyu,CN,47.79,124.46,1553755880.0,48.0,35.0,37.97,8.63
anahuac,US,29.77,-94.68,1553755876.0,1.0,93.0,60.8,5.84
paptalaya,HN,15.5,-84.32,1553755881.0,92.0,66.0,76.67,5.28
yerbogachen,RU,61.28,108.01,1553755882.0,56.0,70.0,32.57,3.83
acari,BR,-6.44,-36.64,1553755882.0,56.0,95.0,69.65,3.6
vao,EE,59.1,26.19,1553755882.0,0.0,90.0,28.16,5.39
chake chake,TZ,-5.25,39.77,1553755883.0,92.0,100.0,78.29,6.06
port hardy,CA,50.7,-127.42,1553752800.0,5.0,93.0,35.6,3.36
braco do norte,BR,-28.27,-49.17,1553755608.0,92.0,97.0,57.0,5.01
umea,SE,63.83,20.26,1553754000.0,75.0,74.0,37.4,12.75
margate,AU,-43.03,147.26,1553755876.0,0.0,40.0,72.0,12.75
taclobo,PH,12.31,122.59,1553755885.0,68.0,100.0,79.28,7.4
te anau,NZ,-45.41,167.72,1553755885.0,0.0,59.0,59.48,1.36
amboasary,MG,-25.04,46.38,1553752800.0,75.0,88.0,77.0,11.41
babati,TZ,-4.21,35.75,1553755886.0,44.0,87.0,69.47,3.94
ust-tsilma,RU,65.44,52.15,1553755886.0,0.0,75.0,29.6,3.6
teguise,ES,29.06,-13.56,1553752800.0,20.0,87.0,59.0,6.93
port hedland,AU,-20.31,118.58,1553752800.0,0.0,63.0,93.2,13.87
east london,ZA,-33.02,27.91,1553752800.0,0.0,64.0,69.8,8.05
mahanoro,MG,-19.9,48.8,1553755888.0,92.0,92.0,76.58,4.94
santa cruz,US,36.97,-122.03,1553755591.0,40.0,100.0,53.6,3.36
duku,NG,11.24,4.91,1553755891.0,8.0,34.0,71.99,7.63
los llanos de aridane,ES,28.66,-17.92,1553755862.0,0.0,67.0,62.6,5.82
olinda,EC,-2.03,-79.75,1553755828.0,75.0,74.0,78.8,8.05
dolores,UY,-33.53,-58.22,1553755892.0,0.0,83.0,59.12,12.21
brigantine,US,39.41,-74.36,1553755864.0,1.0,92.0,39.0,6.96
belaya gora,RU,68.54,146.19,1553755893.0,0.0,81.0,10.16,5.17
chernyshevskiy,RU,63.01,112.47,1553755893.0,44.0,77.0,28.7,3.27
kosa,RU,59.94,54.99,1553755894.0,80.0,96.0,33.29,5.5
itoman,JP,26.12,127.67,1553754600.0,75.0,78.0,77.0,18.34
lahaina,US,20.87,-156.68,1553755847.0,20.0,64.0,75.2,3.36
itaituba,BR,-4.26,-55.99,1553755895.0,0.0,84.0,78.02,3.71
hamilton,BM,32.3,-64.78,1553755509.0,75.0,82.0,62.6,16.11
saint-augustin,FR,44.83,-0.61,1553755869.0,0.0,80.0,43.0,3.36
pueblo,US,38.25,-104.61,1553755638.0,1.0,19.0,59.0,6.93
fare,PF,-16.7,-151.02,1553755897.0,36.0,96.0,84.95,2.71
bilibino,RU,68.06,166.44,1553755897.0,92.0,71.0,7.64,3.94
gravdal,NO,59.79,5.78,1553755807.0,75.0,93.0,46.99,11.41
ouro preto do oeste,BR,-10.75,-62.22,1553755898.0,32.0,90.0,75.32,3.38
mazatlan,MX,23.22,-106.42,1553755542.0,40.0,82.0,69.01,1.59
thinadhoo,MV,0.53,72.93,1553755898.0,24.0,100.0,83.24,3.15
cervo,BR,-22.19,-46.24,1553755899.0,12.0,91.0,59.75,3.83
madang,PG,-5.21,145.81,1553755899.0,44.0,97.0,78.74,4.16
